	residual
0	1.0
1	5.459767521367522
2	5.284474095336241
3	2.138826237599747
4	0.6665844640461172
5	0.1250179982840932
6	0.11130430783628431
7	0.05925151448010563
8	0.019141793648568772
9	0.005640479970885903
10	0.0015296999439569081
11	0.0013409590336283528
12	0.000590293792614327
13	0.00018539436899284167
14	4.263952229821566e-05
15	2.366733821390632e-05
16	1.4928077564146935e-05
17	5.512677430041801e-06
18	1.6763666357277884e-06
19	3.373803704742606e-07
