	res	x1	x3	x_N-4	x_N-2
15600	8.4238360203992e-07	-0.4999997843146106	-2.4999989239126137	-97.4999989732037	-99.49999979460019
15601	8.41552304953197e-07	-0.4999997845274124	-2.4999989249743146	-97.49999897421675	-99.49999979480283
15602	8.407221741557613e-07	-0.4999997847400044	-2.4999989260349684	-97.49999897522883	-99.49999979500528
15603	8.398924480901293e-07	-0.49999978495238656	-2.4999989270945764	-97.4999989762399	-99.49999979520754
15604	8.390640060529364e-07	-0.4999997851645593	-2.499998928153138	-97.49999897724996	-99.4999997954096
15605	8.382360069947303e-07	-0.49999978537652257	-2.4999989292106553	-97.49999897825904	-99.49999979561146
15606	8.374090596507955e-07	-0.49999978558827674	-2.499998930267129	-97.49999897926713	-99.49999979581311
15607	8.365828115253215e-07	-0.499999785799822	-2.4999989313225615	-97.4999989802742	-99.49999979601458
15608	8.357575351780611e-07	-0.4999997860111585	-2.4999989323769514	-97.49999898128031	-99.49999979621582
15609	8.349326341972052e-07	-0.4999997862222866	-2.499998933430301	-97.4999989822854	-99.49999979641689
15610	8.341092270769401e-07	-0.49999978643320636	-2.4999989344826115	-97.49999898328952	-99.49999979661774
15611	8.332861624604782e-07	-0.499999786643918	-2.4999989355338843	-97.49999898429262	-99.49999979681841
15612	8.324639039214432e-07	-0.4999997868544217	-2.4999989365841198	-97.49999898529475	-99.49999979701887
15613	8.316427242416324e-07	-0.4999997870647177	-2.4999989376333183	-97.49999898629588	-99.49999979721915
15614	8.308222083086569e-07	-0.49999978727480626	-2.499998938681482	-97.49999898729605	-99.4999997974192
15615	8.300023730534178e-07	-0.4999997874846875	-2.4999989397286124	-97.49999898829522	-99.49999979761908
15616	8.291834766027684e-07	-0.4999997876943616	-2.4999989407747085	-97.4999989892934	-99.49999979781876
15617	8.283652505047812e-07	-0.49999978790382904	-2.499998941819773	-97.49999899029058	-99.49999979801824
15618	8.275480367081478e-07	-0.4999997881130896	-2.4999989428638068	-97.49999899128679	-99.49999979821752
15619	8.267316892740517e-07	-0.49999978832214387	-2.49999894390681	-97.49999899228203	-99.49999979841661
15620	8.259159399726101e-07	-0.4999997885309918	-2.4999989449487843	-97.49999899327626	-99.49999979861549
15621	8.251010891191513e-07	-0.4999997887396337	-2.4999989459897307	-97.49999899426953	-99.49999979881419
15622	8.242869881658343e-07	-0.4999997889480698	-2.4999989470296495	-97.49999899526183	-99.49999979901268
15623	8.234736448287094e-07	-0.4999997891563001	-2.499998948068543	-97.49999899625313	-99.49999979921098
15624	8.226612581707649e-07	-0.499999789364325	-2.499998949106411	-97.49999899724348	-99.4999997994091
15625	8.218494766398798e-07	-0.4999997895721447	-2.499998950143255	-97.49999899823283	-99.499999799607
15626	8.210388768858934e-07	-0.4999997897797593	-2.499998951179076	-97.4999989992212	-99.49999979980471
15627	8.20228674314194e-07	-0.49999978998716915	-2.499998952213876	-97.49999900020859	-99.49999980000223
15628	8.194192401833611e-07	-0.49999979019437424	-2.4999989532476543	-97.49999900119501	-99.49999980019956
15629	8.186109737851055e-07	-0.499999790401375	-2.4999989542804126	-97.49999900218046	-99.49999980039668
15630	8.178031824512821e-07	-0.4999997906081715	-2.499998955312152	-97.49999900316496	-99.49999980059361
15631	8.169965263205015e-07	-0.49999979081476414	-2.499998956342874	-97.49999900414848	-99.49999980079036
15632	8.161902917414032e-07	-0.4999997910211528	-2.499998957372578	-97.49999900513099	-99.4999998009869
15633	8.1538520790847e-07	-0.49999979122733773	-2.499998958401266	-97.49999900611256	-99.49999980118326
15634	8.145806999482197e-07	-0.49999979143331935	-2.4999989594289405	-97.49999900709317	-99.49999980137942
15635	8.137769636484826e-07	-0.4999997916390977	-2.4999989604555997	-97.4999990080728	-99.49999980157538
15636	8.129739281215187e-07	-0.49999979184467297	-2.499998961481246	-97.49999900905146	-99.49999980177115
15637	8.121719397014004e-07	-0.49999979205004536	-2.4999989625058805	-97.49999901002916	-99.49999980196674
15638	8.113707432033657e-07	-0.4999997922552152	-2.499998963529505	-97.49999901100591	-99.49999980216212
15639	8.105701375660246e-07	-0.49999979246018267	-2.499998964552119	-97.49999901198167	-99.49999980235731
15640	8.097703642628851e-07	-0.49999979266494793	-2.4999989655737234	-97.49999901295648	-99.49999980255231
15641	8.089713134373788e-07	-0.49999979286951113	-2.4999989665943207	-97.49999901393033	-99.49999980274713
